index,text,label
549,40433,I havent told anyone outside my coworkers and parents im going on a trip (besides Twitter where no one knows me) so im just waiting to drop a picture at the airport like im out bitches,travel
1925,5394,@charliekirk11 @traciirving1 that sounds like an invasion to me.,general
655,5226,i don't talk about my job a lot but i get to travel every week until April to run pop ups and it's been a goal of mine to travel for work so i am very stoked and gonna eat many snacks,general_travel
463,13226,"Hi everyone!
Going on a Study Abroad/Mission trip in July and would love your support. ☺️ Click the link to learn more. 
#LovetoHaiti https://t.co/75Kse168ZA",travel
1791,27419,"it is freezing in the house and yet i open the freezer to eat ice-cream 

i am mad",general
777,12246,"Surely you're in need of a trip to @ChefsTableCH1 for #Veganuary - Chef's Table have got some divine #vegan options at the moment - we're sure you'll have a fabulous time
https://t.co/qRjtaY4mn9 https://t.co/v5jyp1Ckxw",general_travel
303,23366,"@cansincayli1 THANK YOU, @cansincayli1  Istanbul is the city I'm still missing in my travel destinations, let's see, when it will be possible ... I know already, it is an very photogenic town ... OMG ... Ciao from Berlin. Silva",travel
1102,33867,@sydneygraham @DrPol @natgeowild Yesâ€”so excited! Just discovered this show on a recent trip to my sisterâ€™s in Michigan. Love Dr. Pol ,general_travel
1067,15055,"Love &amp;amp; Happiness.
.
.
.
.
.
.
#vsco #vscocam #instagood #photooftheday #photography #travel #nature #photo #love… https://t.co/N11W86dqnx",general_travel
1812,36290,@broadstbull no ghost folin in,general
638,31506,"#clouds #spring #scenic #water #weather #travel #landscape #instagood #beautiful #naturelovers #picoftheday #instadaily #rainbow #thinking will get #you started, #actions will get you… https://t.co/dYNk5RXX3H",general_travel
769,15310,Best waffle shops in Brussels https://t.co/0ds6n7wRgn https://t.co/rzfNjzY3rJ,general_travel
235,26011,LEave school for now let’s go on a trip to Ibiza and have fun together my love 😘 — 😕 https://t.co/NJmZRiOMKu,travel
2066,33060,"what team are you on? 

#teamstick
or
#teammotion 

thank you to @mariomoverx for making this! 💕💚 https://t.co/l4vgziurie",general
312,15751,"This feels surreal. Like I feel like it means I was given a second chance to go on my dream trip. I have to go this time right? Like, I need to say money isn't an issue and I need to go on this trip.... Am I crazy or nah?",travel
350,32956,I’m never going on a trip w these btches again b like never,travel
1859,41895,this is a very informative documentary - and way cool. https://t.co/hqwx0j6pvr,general
756,16898,"***Attention Disneyland Fans!***   You can still get 2018 Discounted Tickets for the next few days on https://t.co/JUMdcBSJId.  The Disneyland 2019 Gate Prices have gone up, so if your planning a trip to the ""Happiest Place on Earth!"", Now is the time to buy tickets! https://t.co/hMT74J0zpe",general_travel
1870,11270,"@fuslie @squareenix i got goofy.i got donald.
when we go fight against the dark it's not awful.
they got my back.and i got theirs.
so many worlds will not be in despair.
each princess or creature we see on our way. we will get through it everyday.
so buy kingdom hearts 3.
you'll have fun i guarantee https://t.co/nuxzqxp6xp",general
334,22217,I'm so excited for this Disney trip ,travel
918,11791,"Oh shut up. Your racist diatribes have been fact checked and every time you are shown to be spewing lie after lie. 
Why don’t you take a trip to the kids jails and explain to the kids missing their parents, why you are such a rancid racist politician. https://t.co/bt64bv3hby",general_travel
97,41781,"im not ready to have a baby im still young i wanna travel, live my life, and make sure my career straight then find the right person to marry and start a family with in the future",travel
43,12606,@XanozIchimonji Honestly I'm going to ask my grandmother when I get home. That woman is always travelling. She is going on a pilgrimage next month. I would say depending on the place and how much I would be spending. The place really does matter. Did you ,travel
1842,39279,.@dearevanhansen tony winner @bensplatt will release his debut album in march: https://t.co/f7fbxotuez https://t.co/xwiirnho7m,general
1126,14689,"@_sharingreen ʻ Don't you like story books? 
    I don't go out of here often, I'm a sick child. So stories are like travelling the world. ʼ

The said child sniffed the pages once more, and cradled the cherished book to her chest.",general_travel
362,15599,"@HeroesEcho @WholeFoods We all have our own tastes. Lots of people really love Tim's, lots of people love Starbucks or their local coffee shop. A trip to Whole Foods is now in order!",travel
2159,43345,"@oaklraiders1976 he won’t be cut. he’s got one more year to prove himself under gruden. hopefully he has a line in front of him this year and if he does and struggles, then i’d bet he’s gone. i for one love dc and want him to excel. if he excels, this rebuild goes a hell of a lot smoother.",general
2243,45555,"the face tattoo is not real, you are all dumb as fuck.",general
1060,38827,Yes! What my future man and I will be wearing especially on a fun trip 😍 https://t.co/UzviXeiZ1A,general_travel
728,31606,"Only good news I can think of, no one like KAT in the rest of the road trip...MH from clippers maybe...",general_travel
2319,45074,onf releases concept photos for their 3rd mini album [we must love] 💗 @wm_on7off @wm_onoff https://t.co/bmoe7pg7by,general
1866,35864,nope because coach pop is the best! i will fight you if you say otherwise!! https://t.co/zaddxznnem,general
260,7953,"@Blades_Mad @NorwichCityFC @EFL It’s probably going to be £45 for Wendy’s, so Norwich sounds like a bargain - although there is the travel. But you’re right - time there was a cap.",travel
21,2277,"@Chez_Em Belfast and Derry - would love to see  both north and south on a longer trip. Met so many lovely people, so friendly and helpful!",travel
814,10222,After nearly 7 years and over 400 #blogposts my journey in #SecondLife is over! Please read my last story here:  https://t.co/G2WqSbgszu Thanks to all who were part of my trip!  I'll miss each and every one of you!  Open roads and kind fires! https://t.co/kEC8NEJQJJ t,general_travel
737,21783,"nothing like being crazy rich... or rich n crazy..
but, would love to be in his shoes and fly around the moon..😃😁
have a safe trip ""To the Moon and Back"".. https://t.co/Q5JX06I9Qa",general_travel
947,14512,Of course Dirty Pompeo will meet with the Saudi killer of Khashoggi! Wonder how much Pompeo will be paid for this trip by MbS? Everything is about the almighty dollar to these Crooks/Cons! 👇 https://t.co/YnZ1UwLWRC,general_travel
2028,33298,@shortyawards @rustyrockets @common @deepikapadukone @mreddiehuang @joebiden @jonmchu @jonahhill @kathygriffin @lilmiquela @rwitherspoon @yokoono least all respect after you put a disgusting vile human like @kathygriffin on your list. she called for the doxxing and harassment of underage children who were proven to have done nothing wrong.,general
780,21313,"hey y'all i made a blog about mental health, travel and school. I have one post but i'll work on that. https://t.co/lagNey1wwz",general_travel
672,29878,"Next trip on holiday, can Rangers assign Terry Hurlock and Ian Ferguson to go out with Morelos. 

That'll sort the mutants out.

By the way, on holiday with your kids and at a pool party harassing a 22 year old????
#TopParenting",general_travel
2346,43602,thank u for ur service but i know how yall really be,general
327,39811,"@foodandbaker Hey Jessica, I'm based in Milton Keynes but travel to Birmingham/London often (used to live in Birmingham!) so I'd love to be added to your list! https://t.co/0agpIXSOQQ / DA 32 / blog@sophieetc.com",travel
45,15315,I wanna / am gonna travel a lot this year ! 😝🙏🏽,travel
577,30580,2 years ago today I was on my flight to Europe for our semester abroad with @KEAT_DADDY1. Now I’m on an 8 hour bus ride to NYC. Not quite the trip we had last time but it’s gonna be a hell of time. #thebigapple #florence,travel
391,27914,"In the glamorous new issue of @IrishCountryMag - one of my favourite Irish magazines - you'll find my latest travel feature. This time, the destination is Puglia's magical #masseriasandomenico, located beside the heel of Italy.

@ASATravelPR https://t.co/tEUgQy9OM8",travel
2201,15824,i’ve never had this much energy in my whole life https://t.co/s0tp8nishk,general
713,36297,"Ratings - Travel Channel Earns Best Year in Network History | https://t.co/FQTRXNMgYd https://t.co/MmiK5RBmND via @po_st Great revues except Dead Files should be # 1 ratings because itâ€™s the â€œbestâ€ show going!! I love,love,love the show!!!",general_travel
397,16966,My dad checking out of San Diego Courtyard @Marriott today. I love his @MarriottRewards so we stay at cool hotels when I travel with @Cal_Nuggets I love the pools! #TweenTwitterTakeover https://t.co/4S6bpjNfuC,travel
166,12822,Talked to my father about the concert/trip like one last time and he said this is the last time am traveling anywhere  am truly giving seungri my last travel chance let’s get this bread,travel
318,6382,@alexia @kevinrose I would never take the other side of that bet. Not jealous at all. have to make it my next big trip,travel
27,37788,I have said this so many times -the quality of food on offer in Ireland is second to none. I really noticed it when living in Sydney but also traveling.  https://t.co/N77S1F2tvh,travel
222,34242,"I am so happy to be able going back to Korea after a short trip to Japan, and sure, ONCEs have been waiting me in ICN Airport. 

📸count on mi. https://t.co/iDULwH8Wyk",travel
929,37870,"For a manufacturer, Odessa, Texas provides a high concentration of services and equipment that you don’t have to travel long distances to get. https://t.co/XJEiPcoOMJ",general_travel
1166,11717,@kidd_jaytee @CoachThomas_59 @DevronHarper @mslit73 @R_bateman2 @batema12 @coachcwade @GWUSports @PassFootball5 @FredLloyd17 @mtbeach29 Congratulations big dawg. Definitely going to make a trip to see you do your thing. 🙌🏾✊🏾,general_travel
481,35013,@ButterflyHero_ @khbf182 @IrisVdd Summer holidays or some other time? (I'd love to plan a fun trip together),travel
2012,9663,work the next 5 days and then i have super bowl sunday off!! 😄👏🏽,general
1844,2924,good morning twitter-friends...have a happy monday and a wonderful new week💗🦉🌸🦉🌸😜🙋‍♀️ https://t.co/md3gkn7rvi,general
1878,14367,i just had to show yall this cute lil moment where they were booing roomba and cheered for sasha :) https://t.co/nhqdxzble6,general
411,9244,I won’t have to travel across the world now.... well in 2022 hopefully I will 🤔 https://t.co/XCQigvcKN0,travel
2122,18863,"@jyduclos 😂😂😂lies, lies, lies.🤦🏾‍♂️ you created 9 300 jobs last year when you take out the job loss. go eat a hot dog! make sure you fill your mouth to the point you can talk and make sure both hands are on it so you can’t tweet. then can you only try to lie to us again.",general
2420,1424,"breaking: 5 police officers shot in houston, suspect is dead https://t.co/9qn1hj9mcv https://t.co/j73bsdxvvg",general
197,20464,@lbeemnunez Oh goodness 😂😭😭😭 $90 for a ride ? 😭 I might have to not be so impulsive with this trip,travel
979,20228,"@singledadissad (my home is 45 min drive from his biggest ICE camp so we will have my place to stay when we go, if you’re down to endure the ~12 hour trip down there)",general_travel
2497,40902,"｜　this account wasn't tagged as nsfw, but every plot ideas are welcome. if it contains nsfw thingy, make sure that you starting the plot on the right time!",general
2339,40688,"hey everyone. so. i might need a little help getting the word out, but.  i would really love to grow my twitter following. if you know people who like boobies and awkward girls, tell me about me, ok? https://t.co/xzljp0tg4k",general
1860,1163,"the cambridge labour party women’s forum and ethnic minority forum will be running community wardrobe sessions at ross street community centre.
dates and times: 11th march 1-3, 18th &amp; 25th march 12.30-3pm https://t.co/5z4tlm4je0",general
202,29294,@techamys @_on11 Amy - you'll have to meet Michael in person. Online doesn't do his enthusiasm or passion any justice. Road trip to Illinois next! #ShiftThis,travel
838,34485,"@Pro1stAmendment @Every58Hours @mchooyah @sundnce99 Even idiots have friends, and bastards have brothers.  They usually travel in packs hoping their combined mass will compensate for their individual ignorance.   I know, hard to believe anybody would want to associate with that level of stupid...",general_travel
116,36369,@mtz_carlaa @the1975 hehe ok if they don’t announce an LA date soon I’m gonna have to make it an SB trip 🤪,travel
2301,40358,@ross_garrett10 @colton he’s speaking about a girl i’m sure. and btw you sound like a gem,general
1886,40217,@hcldthestars you are too a crazy fangirl.,general
2417,40043,wow!! thank you @ginger_coleman for this amazing gift for my daughter! i am truly blessed having the best district manager!! @chrisberghd @thdkelly @tenney1r https://t.co/ytymqd71i7,general
2315,3097,"by ending the government shutdown for 3 weeks, the president keeps his fractious party together and the democrats have no excuse not to at least engage in meaningful negotiations with the republicans about funding the wall. but will they? time will tell! https://t.co/xcgc3orizi",general
2242,43598,@gleaming_sword @rosegarg9 i was just thinking that same thing. just posting the books without telling why will be difficult.,general
2266,12329,"#aerohistory: january 28, 2001

aerosmith rocks super bowl xxxv halftime show.

""bye bye bye"" ('n sync)
""i don't want to miss a thing"" (aerosmith)
""it's gonna be me ('n sync)
""jaded"" (aerosmith)
""walk this way"" (aerosmith, 'n sync, britney spears, mary j. blige, nelly) https://t.co/lhunxx9yhq",general
1100,30119,"Just before Christmas our IT director, Will Robinson, and senior analyst programmer, Daniel Sills, returned from a trip to Atlanta as part of an exciting client project. Here's their postcard...

https://t.co/lQYcGVQLKt",general_travel
2353,14114,@zendaya @kehlani i’m in tears,general
300,6341,"2018 was AMAZING! So hard to pick our highlight from the year so here are a few! New products, a trip to meet our avocados in Kenya, awards and launching into Ocado! Bring on 2019!! Thank you all for your continued support and love! 🥑 #2018 #happynewyear #highlights https://t.co/xA0vRa5NWD",travel
2020,46064,"the grind to lvl 20

playing @crossout_en 

leave a thumbs up if you read this..
(or i will find you)

https://t.co/wjgucy6t2p https://t.co/vv2ljrz1xn",general
827,25118,CTV Your Morning: How To Travel Like AÂ Pro https://t.co/VBvBKQ9VMH https://t.co/kVWQnfAqQF,general_travel
1141,21177,now that i have more solid grounds i’ll reread all the notes in two sections,general_travel
710,28202,"literally Junmyeon going to NY with his friends is such a healing trip for him and myself
I love seeing him smile so much and have a good time, I feel blessed",general_travel
2260,29125,stephen harper lives rent-free in justin trudeau's mind.  #cdnpoli,general
403,16650,"A great night hearing what @MemphisGM  and co had in store for this fantastic little club we all love @Dag_RedFC , thank you for comming over and talking to us fans, @TimHowardGK thanks for the pic aswell. Safe trip to salford for you all. #onceadagger https://t.co/tAllRWOMkz",travel
15,9066,@jenarbo The little ones be like “when do we get to slide down the hill daddy?”. Guess we’ll have to travel to the mountains this year.,travel
642,2008,So pleased that @queens_london have seen sense and cancelled the awful penguin ice skating event for #penguinawarenessday https://t.co/5uWQpj2T1b,general_travel
2484,18486,how can anyone in public housing trust a howard schultz presidency? @howardschultz you are a rage quitter and will sell all public housing to putin. the sonics effect.,general
578,21520,@hxllyweird 😩 i know. Well we may have to travel somewhere soon if she cancels dublin,travel
754,28969,LIKE/RT if you plan to travel to Austin for #SXSW2019,general_travel
614,29850,@bustoptv I hope someone will ask him what they have done with the “backing” they got from the 2018 trip to Davos? What benefit has his expensive travels brought to the country?,general_travel
797,31851,It was #PopeFrancis’ wish to include Sumuleu Ciuc (#Csíksomlyó) in his #Romania trip because he wants to meet with #Hungarian #Catholics as well. The #Pope will celebrate an open-air mass where the #Pentecost masses attract 5–600.000 people every year. https://t.co/o7hmILSqVY,general_travel
1047,31401,My Instant Pot still isn't out for delivery yet. I'll be shocked if it's delivered before 9pm unless someone's making a special trip for me after rush hour is over.,general_travel
2264,12305,“come on papa you got this” - me to me every 22 seconds on the stair master,general
863,41643,@notarealpigeon not that a trip to new York is less than $100 but like uhhhhhhh,general_travel
1974,14751,"troy allison, a 44-year-old with no signs of rapidly declining health, was pronounced dead after receiving a 1,000 microgram dose of fentanyl, a drug commonly used to treat pain. https://t.co/xzrmpjqdum (1/8)",general
2408,22808,"join the sitelock team! see our latest job opening here: https://t.co/joero3jam2 #businessmgmt #scottsdale, az",general
1955,35761,"@greenwoodchet @undeaddan @ag_conservative @kevin_powell @jinahparker yes, he got in the face of one of his female cast mates...",general
2475,12016,may allah grant you the peace you deserve,general
2148,13704,@oliverdarcy @brianstelter we usually tune in the last hour of the pre-game show just for background noise. not so this year. we'll tune in after the kickoff.,general
1824,45263,.@senwestcaucus with all the controversy surrounding border security do not lose sight of modernizing the endangered species act. decades of sub par performance and abuse by enviro groups has taken this well meaning act down a different path. get it back on track. @unitedminingal,general
2325,30430,"still looking for a team! free agent for all leagues on xbox! 
•92 pure stretch four
•92 sharp rim protector
•90 shot-athletic
•90 post scoring rebounder
•90 rebounding stretch 
•89 slashing shot creator 
•89 pure shot creator 
•88 sharp rim protector
hmu! @2kcompgames",general
161,15255,Our Capetown trip is gonna be so HECTIC. Lwanele is so excited and izinto ziyahlangana. Ndinewari!! https://t.co/Ksv0S1woja,travel
224,26497,"We will be making a trip to a migrant shelter next weekend, if you would like to donate warm men's clothing or similar supplies and live in LA, please DM us!",travel
2163,13016,"uk regulator @ofcom censures @georgegalloway talk show for not including enough people who backed uk govt #skripal claims
https://t.co/cn2pexjh8y
nb no similar censure of bbc sky etc so far, despite that people querying uk govt claims were almost entirely absent from their output",general
612,21077,Confused and deceived People want the rest of us to believe the people â€œjust materialized out of thin airâ€....keep your kids at home when they have the trip https://t.co/jgQFL6f02i,general_travel
51,22381,@AirbnbHelp We are 7 days out from our trip and had ANOTHER Airbnb cancel on us after our first one got cancelled on Christmas Eve. Can you help us? We are worried we aren’t going to have a place to stay!,travel
1121,3060,Let's hear it for Nucifora because Carbery's trip south is paying off. Superb from him and Munster tonight. Gloucester getting destroyed. Obviously something must be done to change the Champions Cup again. It's not on watching Irish teams have it so easy in England.,general_travel
679,29501,"Running errands for my father, the inventor of my trauma, is always a trip cause I have to deal with old white men a lot and hearing them call my dad Ernie instead of Ernesto is always funny",general_travel
2077,13685,congrats to @voverway on his commitment to @trinitytroll to play basketball! so proud of vince who is a tireless worker and a top notch kid! coach hawkins got a great one! #gomaroons,general
1039,13030,@DisneyFoodBlog August 18 to the 27th going as a family trip 15 of us going any advice for traveling with a big group,general_travel
2509,37632,"... led to title ix anti-discrimination strictures being applied to relations between the sexes on college campuses. 

the result has been the star chambers run by administrators and other campus functionaries, ...

(intermission)",general
359,4513,@nationalexpress have the worst customer service I have ever experienced in my life. This is definitely the first and last time I will ever use them again for travel. I am fuming. The people at the information desk are useless and have no compassion !!! 😡😡😡,travel
904,19706,@AndreiSernande Where would you like to travel to?,general_travel
1093,7511,"@noveliciouss And you should travel and read good books,then you will feel things of the people and world,thatâ€™s useful for your writing",general_travel
236,33698,All I want in life is to travel and to have someone to travel with for the rest of my life,travel
1180,33422,"Zack Martin on this Ezekiel Elliott block: â€œWhen you have an All-Pro running back, leading the league in rushing, willing to be a lead-blocker, itâ€™s pretty special.â€ https://t.co/Kw3X3bKY5c",general_travel
677,1632,like i'd pay my trip i don't care. i just can't go alone. i hate everyone i'm just so fucking mad.,general_travel
229,38236,Though their negative aspects social media make me travel all around the world ,travel
314,20164,"@edenburgercbus @VeganToledo I NEED to try out Eden Burger, definitely going to take a day trip to Columbus soon 🤤",travel
2236,13693,"if #bitcoin scales and becomes 100,000x faster (use your imagination), would there still be a usecase for $alts?

please discuss in the comment section below. ⬇️",general
252,2355,My batterys bugging again i might have to go phoneless for the whole trip 😔😔😔,travel
1998,33950,"thanking them for their sacrifices? like having to be part of a federation that sweeps sexual abuse under the rug? i don't think a blanket tweet does their trauma justice. urging for further investigation might be a starting point. you know your influence on the sport, use it. https://t.co/nzinsxvnr1",general
841,40144,"@DonaldJTrumpJr Donnie Jr. you are, as usual, so wrong. You opining about political issues is like me claiming to be a savant on interstellar space travel, or a learned scholar on the existence of a supreme being.",general_travel
568,23648,I’ll be recording some music soon and need some help. I want the kids to hear it and hear themselves in it. I want this body to travel far. It will travel far,travel
272,36080,â€œI will travel to wherever to tell stories because thatâ€™s what I like doingâ€ is a thing I said in the midst of this interview transcript and it is the truest thing.,travel
518,38974,These gas prices have me wanting to take a road trip,travel
2403,8776,"he died?  rt @espnnba: golden state showed support for victor oladipo, who was injured last week.

all fans at monday's @warriors-@pacers game are getting a ""together 4 vic"" shirt. https://t.co/ykwoiwgdm7",general
17,39377,"idk if this year I wanna do more cities in the US or go abroad a few times,,, I might try n get an East Asian trip done or a month long Europe. We’ll see",travel
2072,32988,can you guess what a nose horn is called in english?,general
807,35663,"Say yes to new adventures 
Book your tour packages with @amnholidayss.

For Booking call 977-1-4414678 | 
9851042334
Visit: https://t.co/g7VozMCmnU

#like #happy #vacation #trip #traveling #tourpackges https://t.co/mXAeTGSQ1F",general_travel
782,33384,When people are like “I love travelling” i like to imagine people just obsessed with hopping on busses and shit,general_travel
2510,19891,"officials urge vaccinations amid northwest measles outbreak (35 cases in oregon and washington since january 1)
https://t.co/cin2x64eon",general
2241,15362,swimming in canada be like https://t.co/1dw1jplnmn,general
1987,22562,"idk if y’all have heard this testimonio about the sog that happened some days ago but i just heard it today in the dominical through the brother joram núñez...it’s so beautiful and made us all that were present, cry so i decided to share it... here’s how i understood it...",general
1865,12198,"happy birthday beautiful @kenzmcmahan i hope you have the best day you sure do deserve it, luv n miss you honey 💛",general
513,10316,@philipberne Haha don't need to travel quite that far for these KitKats (tho I'd love to go to Japan!) -- I'm just in VancouverðŸ¤—,travel
