,index,text,label,tokens
470,37039,I'm here trying to plan a spontaneous trip to Europe in the parade but as no one else is like yeah let it go,travel,"['here', 'trying', 'to', 'plan', 'spontaneous', 'trip', 'to', 'europe', 'in', 'march', 'but', 'like', 'no', 'one', 'else', 'is', 'like', 'yeah', 'let', 'go']"
18,24547,Happy birthday together of love more than yrstogether year yrstogether years we travel with you to one dimension in which,travel,"['happy', 'th', 'anniversary', 'together', 'of', 'love', 'thanniversary', 'love', 'yrstogether', 'yrs', 'years', 'we', 'travel', 'with', 'you', 'to', 'one', 'dimension', 'where']"
385,27908,Guatemala will be my first international trip this year can not wait,travel,"['guatamala', 'will', 'be', 'my', 'first', 'international', 'trip', 'of', 'the', 'year', 'can', 'wait']"
440,1590,Probably we're all going on a walk somewhere to see tomorrow morning,travel,"['apparently', 'we', 'are', 'all', 'going', 'on', 'trip', 'to', 'see', 'somewhere', 'in', 'bc', 'tomorrow']"
465,37473,Don t worry by my next trip and my leg will be fine and can not wait ole you,travel,"['don', 'worry', 'by', 'our', 'next', 'trip', 'my', 'leg', 'will', 'be', 'okay', 'can', 'wait', 'to', 'ole', 'you']"
478,38452,E and th this is going to be a short trip but i ll throw all my plans for a VP concert,travel,"['the', 'th', 'and', 'the', 'th', 'it', 'gonna', 'be', 'short', 'trip', 'but', 'll', 'dump', 'all', 'my', 'plans', 'for', 'vp', 'concert']"
452,37738,Road trip I'll let give s and truck as well as just to make sure you are okay with your purchase,travel,"['road', 'trip', 'll', 'drive', 'let', 'get', 'and', 'in', 'the', 'truck', 'as', 'well', 'just', 'to', 'make', 'sure', 'you', 'are', 'ok', 'with', 'the', 'purchase']"
398,18293,I love this city,travel,"['love', 'this', 'city']"
513,10316,haha don t have to travel quite far for these tho kitkats i like to go to japan i am from just in vancouver,travel,"['haha', 'don', 'need', 'to', 'travel', 'quite', 'that', 'far', 'for', 'these', 'kitkats', 'tho', 'love', 'to', 'go', 'to', 'japan', 'just', 'in', 'vancouver']"
403,16650,Great night to hear what co was in store for this fantastic little club we all love to thank you over over and talk to us fans thanks for the pic trip as well as safe salford for you every time,travel,"['great', 'night', 'hearing', 'what', 'and', 'co', 'had', 'in', 'store', 'for', 'this', 'fantastic', 'little', 'club', 'we', 'all', 'love', 'thank', 'you', 'for', 'comming', 'over', 'and', 'talking', 'to', 'us', 'fans', 'thanks', 'for', 'the', 'pic', 'aswell', 'safe', 'trip', 'to', 'salford', 'for', 'you', 'all', 'onceadagger']"
482,21722,Lol it amazed me how he just assumed i would be there waiting and when i said i had a friend there he asked the next day but something so wrong came back from the w who is supposedly in love w just hit me booking the trip and he did it to me too,travel,"['lol', 'it', 'amazed', 'me', 'how', 'he', 'would', 'just', 'assume', 'would', 'be', 'there', 'waiting', 'and', 'when', 'said', 'had', 'boyfriend', 'there', 'he', 'asked', 'for', 'the', 'next', 'day', 'but', 'something', 'so', 'wrong', 'coming', 'back', 'from', 'being', 'whom', 'he', 'supposedly', 'is', 'in', 'love', 'only', 'to', 'hit', 'on', 'me', 'bookending', 'the', 'trip', 'and', 'he', 'did', 'it', 'to', 'me', 'too']"
305,28344,My family and I love to travel We have been going places with our son almost since he was born I think travel has taught him to be more adaptable and get the difference What are your travel stories lgbtqfamilies,travel,"['my', 'family', 'and', 'love', 'to', 'travel', 'we', 've', 'been', 'going', 'places', 'with', 'our', 'son', 'almost', 'since', 'he', 'was', 'born', 'think', 'travel', 'has', 'taught', 'him', 'to', 'be', 'more', 'adaptable', 'and', 'more', 'accepting', 'of', 'difference', 'what', 'are', 'your', 'travel', 'tales', 'lgbtqfamilies']"
182,11835,Someone wants to go for a road trip to connecticut it like hours away and I've never been but I want to go to any country,travel,"['anyone', 'wanna', 'go', 'on', 'road', 'trip', 'to', 'connecticut', 'it', 'like', 'hours', 'away', 'and', 've', 'never', 'been', 'but', 'wanna', 'go', 'to', 'every', 'state']"
511,5225,We need to put our travel plans this year and lets get the package organized early,travel,"['we', 'have', 'to', 'put', 'in', 'our', 'travel', 'plans', 'this', 'year', 'lets', 'get', 'the', 'package', 'organised', 'early']"
379,8216,I have some really interesting convos with my friends and session but sometimes I just do not really want to chat what is your personality plane and passenger plane Talktostrangers,travel,"['ve', 'had', 'some', 'really', 'interesting', 'convos', 'with', 'my', 'seat', 'mates', 'but', 'sometimes', 'just', 'don', 'really', 'feel', 'like', 'chatting', 'what', 'is', 'your', 'plane', 'personality', 'travel', 'plane', 'talktostrangers']"
167,29430,More like you can also make a trip home and come to see your family,travel,"['more', 'like', 'you', 'might', 'as', 'well', 'make', 'trip', 'home', 'and', 'come', 'see', 'your', 'family']"
33,30506,After almost years on blogging my journey in Secondlife is over please read my last story here thanks to everyone who was part of my trip i miss all of you open roads and type fires p,travel,"['after', 'nearly', 'years', 'and', 'over', 'blogposts', 'my', 'journey', 'in', 'secondlife', 'is', 'over', 'please', 'read', 'my', 'last', 'story', 'here', 'thanks', 'to', 'all', 'who', 'were', 'part', 'of', 'my', 'trip', 'll', 'miss', 'each', 'and', 'every', 'one', 'of', 'you', 'open', 'roads', 'and', 'kind', 'fires']"
160,31754,Yes and there is no room to wiggle either I travel with my wife and kids in the club before I had status They were on separate booking Travel agent The baby sucks was like months and months so wife wife gets a seat free choice I had to pay to ensure ID next to them,travel,"['yeah', 'and', 'there', 'no', 'wiggle', 'room', 'either', 'was', 'travelling', 'with', 'my', 'wife', 'and', 'kids', 'all', 'in', 'club', 'before', 'had', 'status', 'they', 'were', 'on', 'separate', 'booking', 'travel', 'agent', 'sucks', 'baby', 'was', 'like', 'months', 'old', 'so', 'wife', 'kids', 'gets', 'free', 'seat', 'selection', 'had', 'to', 'pay', 'to', 'guarantee', 'sit', 'beside', 'them']"
154,19693,I would love to take the trip from Wisconsin with my dad to see good olts colts to beat,travel,"['would', 'love', 'to', 'take', 'the', 'trip', 'from', 'wisconsin', 'with', 'my', 'pops', 'to', 'see', 'good', 'ol', 'colts', 'beat', 'down']"
165,10439,sweeaaarr we definitely need to plan a trip you come w we yg true,travel,"['sweeaaarr', 'we', 'definitely', 'have', 'to', 'plan', 'trip', 'you', 'guys', 'coming', 'us', 'to', 'yg', 'right']"
303,23366,Thank you istanbul is the city I'm still absent for my travel destinations Let me see when it will be possible I already know that it is very photogenic city omg ciao from silva in Berlin,travel,"['thank', 'you', 'istanbul', 'is', 'the', 'city', 'still', 'missing', 'in', 'my', 'travel', 'destinations', 'let', 'see', 'when', 'it', 'will', 'be', 'possible', 'know', 'already', 'it', 'is', 'an', 'very', 'photogenic', 'town', 'omg', 'ciao', 'from', 'berlin', 'silva']"
446,15179,So you travel like most of us in Europe,travel,"['then', 'you', 'travel', 'like', 'most', 'of', 'us', 'in', 'europe']"
300,6341,Was so awesome and difficult to choose our highlight from the year so here are some new products and a trip to meet our avocados and kenya awards and launches into ocado to bring thanks to all of you for your continued support and love highlights happynewear,travel,"['was', 'amazing', 'so', 'hard', 'to', 'pick', 'our', 'highlight', 'from', 'the', 'year', 'so', 'here', 'are', 'few', 'new', 'products', 'trip', 'to', 'meet', 'our', 'avocados', 'in', 'kenya', 'awards', 'and', 'launching', 'into', 'ocado', 'bring', 'on', 'thank', 'you', 'all', 'for', 'your', 'continued', 'support', 'and', 'love', 'happynewyear', 'highlights']"
267,10112,I have to save money for my ride but I also have a very big urge to buy new clothes and make a whole new look just for a walk,travel,"['need', 'to', 'save', 'money', 'for', 'my', 'trip', 'but', 'also', 'have', 'very', 'big', 'urge', 'to', 'buy', 'new', 'clothes', 'and', 'completely', 'new', 'makeup', 'just', 'for', 'the', 'trip']"
19,16607,I'm going to be going all out on a kinda road ride this year taking up flights,travel,"['gonna', 'be', 'going', 'on', 'all', 'kinda', 'road', 'trip', 'this', 'year', 'catching', 'flights']"
263,10283,We have a Lipa rod payment payment plan whereby you simply start paying a small amount of money to make an order to clear the balance before the travel dates jk,travel,"['we', 'do', 'have', 'lipa', 'pole', 'pole', 'installment', 'payment', 'plan', 'whereby', 'you', 'simply', 'begin', 'by', 'paying', 'small', 'amount', 'of', 'money', 'to', 'make', 'reservation', 'and', 'clear', 'the', 'balance', 'before', 'the', 'dates', 'of', 'travel', 'jk']"
186,17333,I would also love to know what your wife is thinking about this trip,travel,"['also', 'would', 'love', 'to', 'know', 'what', 'your', 'wife', 'thinks', 'of', 'this', 'trip']"
538,10876,If something goes wrong at least I have a trip to plan something busy with my head,travel,"['if', 'anything', 'gets', 'wrong', 'at', 'least', 'have', 'trip', 'to', 'plan', 'and', 'something', 'to', 'busy', 'my', 'mind', 'with']"
35,38499,Flights anywhere are dirt cheap now you will be more hit by your friends and book a nice trip in the spring,travel,"['flights', 'everywhere', 'are', 'dirt', 'cheap', 'right', 'now', 'ya', 'll', 'better', 'hit', 'your', 'friends', 'up', 'and', 'book', 'nice', 'little', 'spring', 'trip']"
532,12756,Planning a Trip to Mexico City My Mexican company is worried about the Caucasus because of my skin color and I heard mixed things about how safe it is now that it got me worried about what I can do to avoid possible trouble,travel,"['planning', 'trip', 'to', 'mexico', 'city', 'my', 'mexican', 'girlfriend', 'is', 'worried', 'about', 'me', 'caucasian', 'because', 'of', 'my', 'skin', 'color', 'and', 'have', 'heard', 'mixed', 'things', 'about', 'how', 'safe', 'it', 'is', 'it', 'now', 'gotten', 'me', 'worried', 'what', 'can', 'do', 'to', 'avoid', 'potential', 'trouble']"
137,34811,Trip log and review the trip we took to check it out and share if you like wisconsinindells travelblog,travel,"['trip', 'log', 'and', 'review', 'for', 'the', 'trip', 'we', 'took', 'check', 'it', 'out', 'and', 'share', 'if', 'you', 'like', 'wisconsindells', 'travelblog']"
455,21549,For the first time while I was feeling excited I found a way that I could travel cheaply and work at my destination for housing and food I feel empowered as I can go anywhere and do what I love for the first time,travel,"['for', 'the', 'first', 'time', 'in', 'while', 'feeling', 'excited', 'found', 'way', 'that', 'can', 'travel', 'cheaply', 'and', 'work', 'at', 'my', 'destination', 'in', 'exchange', 'for', 'housing', 'and', 'food', 'feel', 'empowered', 'like', 'can', 'go', 'anywhere', 'and', 'do', 'what', 'love', 'for', 'real', 'for', 'the', 'very', 'first', 'time']"
132,15323,Since I will be heading Canada in a few weeks I appreciate if you can download your blog posts on what to do see in Canada in my comments thanks travel travelblog travellerogger wanderlust adventure traveltribe,travel,"['since', 'will', 'be', 'heading', 'to', 'canada', 'in', 'couple', 'of', 'weeks', 'appreciate', 'if', 'you', 'could', 'drop', 'your', 'blog', 'posts', 'on', 'what', 'to', 'do', 'see', 'in', 'canada', 'in', 'my', 'comments', 'thanks', 'travel', 'travelblog', 'travelblogger', 'wanderlust', 'adventure', 'traveltribe']"
472,9459,It seems complicated Thursday hawaii trip so I will make my mind how to escape the concrete jungle,travel,"['looks', 'neat', 'thursday', 'hawaii', 'trip', 'then', 'will', 'make', 'my', 'mind', 'how', 'to', 'escape', 'concrete', 'jungle']"
334,22217,I'm so excited about this Disney trip,travel,"['so', 'excited', 'for', 'this', 'disney', 'trip']"
547,42868,And you will never get old onnbikes onncruizers onnfamily ride mapheworld throw k on travel,travel,"['travel', 'and', 'you', 'll', 'never', 'get', 'old', 'onnbikes', 'onncruizers', 'onnfamily', 'rideonn', 'maptheworld', 'throwback', 'onndiaries', 'travelust', 'traveltales']"
308,36350,Don t ride I will be atlanta live my best life so you will be more welcome to visit,travel,"['don', 'trip', 'll', 'be', 'in', 'atlanta', 'living', 'my', 'best', 'life', 'then', 'you', 'll', 'be', 'more', 'than', 'welcomed', 'to', 'visit']"
339,42761,Oh ga i m travel agent i book airline tickets fuck this crazy i will show this manager my tonite,travel,"['oh', 'ghosh', 'travel', 'agent', 'and', 'book', 'airline', 'tickets', 'fuck', 'this', 'is', 'insane', 'will', 'show', 'this', 'to', 'my', 'manager', 'tonite']"
27,37788,I have said it so many times the quality of the food on offer in ireland is second to none I really notice when living in Sidney but also traveling,travel,"['have', 'said', 'this', 'so', 'many', 'times', 'the', 'quality', 'of', 'food', 'on', 'offer', 'in', 'ireland', 'is', 'second', 'to', 'none', 'really', 'noticed', 'it', 'when', 'living', 'in', 'sydney', 'but', 'also', 'traveling']"
393,22424,Looks like it's time for a walk on the road,travel,"['looks', 'like', 'it', 'time', 'for', 'road', 'trip']"
488,26054,Hello good people is JHB open road I would love to travel that route this year,travel,"['hello', 'good', 'people', 'is', 'the', 'jhb', 'to', 'pe', 'route', 'open', 'would', 'love', 'to', 'travel', 'that', 'route', 'this', 'year']"
185,40801,Looking at making a trip to Japan I am in the following months and have all the planned events I would love to experience it,travel,"['looking', 'at', 'making', 'trip', 'to', 'japan', 'the', 'next', 'months', 'are', 'there', 'any', 'events', 'planned', 'would', 'love', 'to', 'experience', 'this']"
219,25318,Dad asked me tonight if I wanted to make the trip again for my birthday as if I was going to say no pfffff seen in the summer,travel,"['dad', 'asked', 'me', 'tonight', 'if', 'wanted', 'to', 'do', 'the', 'trip', 'again', 'for', 'my', 'birthday', 'as', 'if', 'was', 'going', 'to', 'say', 'no', 'pfffff', 'see', 'in', 'summer']"
492,9093,One of the most beautiful and complete spa I ever had was the day we spent at Budapest Photo Travel Spa to relax beautiful beautiful beauty and budapest winter swimming pool,travel,"['one', 'of', 'the', 'most', 'beautiful', 'and', 'complete', 'spas', 've', 'ever', 'been', 'day', 'we', 'll', 'spent', 'in', 'budapest', 'travel', 'photography', 'spa', 'relax', 'beauty', 'beautiful', 'stunning', 'budapest', 'hungary', 'pool', 'winter']"
234,39717,"I love traveling so much and want to travel the world, but I'm just so tired of drives and plane rides",travel,"['love', 'traveling', 'so', 'much', 'and', 'wanna', 'travel', 'the', 'world', 'but', 'just', 'so', 'tired', 'of', 'the', 'drives', 'and', 'plane', 'rides']"
0,22397,The shelter did not take a trip anywhere in a few months so of course I have three out of the next state travel planned next month to slap,travel,"['haven', 'taken', 'trip', 'anywhere', 'in', 'couple', 'months', 'so', 'naturally', 'have', 'three', 'out', 'of', 'state', 'trips', 'planned', 'in', 'the', 'next', 'month', 'bout', 'to', 'slap']"
586,39336,Hey i just launched my blog blog travel blog and i wrote a post about things to do in singapore so i thought i ll tweet it for you after watching your story instagram anyway happy honeymoon veto loving love,travel,"['hi', 'just', 'launched', 'my', 'travel', 'blog', 'last', 'saturday', 'and', 've', 'written', 'post', 'on', 'things', 'to', 'do', 'in', 'singapore', 'so', 'thought', 'll', 'tweet', 'it', 'to', 'you', 'after', 'watching', 'your', 'instagram', 'story', 'anyway', 'happy', 'honeymoon', 'vatos', 'love', 'love', 'love']"
31,11856,If we were going too far to go,travel,"['would', 'have', 'been', 'if', 'we', 'went', 'too', 'far', 'to', 'travel']"
196,5418,There is one last stop in the youth series before we leave hyyh for the better I m worried now that we are now facing ourselves and get the ugliness inside really getting into adulthood I think if we have to see the ride in time it will now,travel,"['there', 'one', 'last', 'stop', 'in', 'the', 'youth', 'series', 'before', 'we', 'leave', 'hyyh', 'for', 'good', 'as', 'far', 'concerned', 'we', 'are', 'now', 'facing', 'ourselfs', 'and', 'accepting', 'the', 'ugliness', 'within', 'truly', 'entering', 'adulthood', 'think', 'if', 'we', 'll', 'ever', 'see', 'any', 'time', 'travel', 'it', 'would', 'be', 'now']"
254,38315,I love the idea of ​​traveling but people always push such jam packed typical travel schedule that I really can not handle,travel,"['love', 'the', 'idea', 'of', 'traveling', 'but', 'people', 'always', 'push', 'such', 'jam', 'packed', 'schedule', 'typa', 'travel', 'that', 'really', 'can', 'handle']"
304,25638,My Missing Home Disneyland Paris Disneyland Paris Disneyland Park sleepbeautycastle Disney Castle France blueskies Beautiful Love Travel vlogger Disneyland Paris,travel,"['missing', 'my', 'home', 'disneylandparis', 'disneylandparis', 'disneylandpark', 'sleepingbeautycastle', 'castle', 'disney', 'france', 'blueskies', 'beautiful', 'love', 'travel', 'vlogger', 'disneyland', 'paris']"
411,9244,I won not have to travel around the world now even hoping I am,travel,"['won', 'have', 'to', 'travel', 'across', 'the', 'world', 'now', 'well', 'in', 'hopefully', 'will']"
157,17893,I didn t but I will tell you that I at my wedding are completely re-glittering and reduce the fact that I will be hiking and falling in heels,travel,"['didn', 'but', 'will', 'tell', 'you', 'am', 'at', 'my', 'wedding', 'they', 're', 'entirely', 'sparkly', 'and', 'reduce', 'the', 'fact', 'll', 'trip', 'and', 'fall', 'in', 'heels']"
382,10359,Take me for a walk I want to go one day,travel,"['take', 'me', 'on', 'trip', 'like', 'to', 'go', 'someday']"
307,7521,I'm going to save and see if I can make the trip from the US you're inspired,travel,"['gonna', 'save', 'up', 'and', 'see', 'if', 'can', 'make', 'the', 'trip', 'from', 'the', 'uk', 'you', 'are', 'inspirational']"
390,37090,You were me in popcorn I will tell you that we are planning on a late May trip,travel,"['you', 'had', 'me', 'at', 'popcorn', 'will', 'let', 'you', 'know', 'we', 're', 'planning', 'on', 'late', 'may', 'trip']"
274,31511,Morning gooood now this amazing cappuccino start in the morning with incrible sunrise view breakfast cappuccino travel goodmorning awesomeness great view pic pic photooftheday happy love summer nature sea sunrise,travel,"['gooood', 'morning', 'now', 'this', 'is', 'an', 'awesome', 'cappuccino', 'start', 'to', 'the', 'morning', 'with', 'an', 'incresible', 'sunrise', 'view', 'breakfast', 'cappuccino', 'travel', 'goodmorning', 'awesomeness', 'great', 'view', 'instagood', 'pic', 'photo', 'photography', 'photooftheday', 'happy', 'love', 'summer', 'nature', 'sea', 'sunrise']"
92,21402,What would you do with your life if you know there are no limits if there are no limits like money so I would travel the world with my family and learn as much as I can about,travel,"['what', 'would', 'you', 'do', 'with', 'your', 'life', 'if', 'you', 'knew', 'there', 'were', 'no', 'limits', 'if', 'there', 'were', 'no', 'limits', 'like', 'money', 'then', 'would', 'travel', 'the', 'world', 'with', 'my', 'family', 'and', 'learn', 'as', 'much', 'as', 'could', 'about', 'the']"
458,11401,ekwe zen romance anago broo see it yooh ooooooo god i need to take a tanzi trip to see furrroooooooooo,travel,"['ekwe', 'zen', 'romance', 'anago', 'brooo', 'see', 'this', 'yansh', 'ooooooo', 'god', 'have', 'to', 'take', 'trip', 'to', 'tanzi', 'seee', 'furrroooooooooo']"
265,8696,This trip to vegas for stancewars is going to be crazy,travel,"['this', 'vegas', 'trip', 'for', 'stancewars', 'is', 'going', 'to', 'be', 'fucking', 'crazy']"
216,5659,I realized the con is during my trip in Japan so I will be in Japan but I hope you have fun and look forward to meeting you next con,travel,"['realized', 'the', 'con', 'is', 'during', 'my', 'japan', 'trip', 'so', 'll', 'be', 'in', 'japan', 'but', 'hope', 'you', 'have', 'fun', 'and', 'look', 'forward', 'to', 'meeting', 'you', 'at', 'the', 'next', 'con']"
432,27578,Hi I recently purchased away and I'm really afraid to get outlets and stuff like I'm going to be traveling pretty much they managed to sort it out as they do have a lifetime warranty,travel,"['hey', 'recently', 'purchased', 'from', 'away', 'and', 'really', 'scared', 'to', 'get', 'dents', 'and', 'stuff', 'as', 'going', 'to', 'be', 'travelling', 'quite', 'lot', 'did', 'they', 'manage', 'to', 'sort', 'it', 'out', 'as', 'they', 'do', 'have', 'lifetime', 'warranty']"
21,2277,belfast and derry will love to see both north and south on a longer trip and meets so many beautiful people so friendly and helpful,travel,"['belfast', 'and', 'derry', 'would', 'love', 'to', 'see', 'both', 'north', 'and', 'south', 'on', 'longer', 'trip', 'met', 'so', 'many', 'lovely', 'people', 'so', 'friendly', 'and', 'helpful']"
210,39697,Exciting and excited tomorrow we will be traveling to Gatwick Airport from Gatwick Airport,travel,"['feeling', 'excited', 'tomorrow', 'we', 'll', 'be', 'in', 'morocco', 'travelling', 'to', 'gatwick', 'airport', 'from', 'gatwick', 'airport']"
354,32175,My favorite place with some of my joy lovememes Lifestyle Love Friends friendshipquotes Friends Fashion Couples Trip Trips uk Canada c Australia,travel,"['favorite', 'place', 'with', 'part', 'of', 'my', 'happiness', 'lovememes', 'lifestyle', 'love', 'friendshipquotes', 'friends', 'fashion', 'couplegoals', 'tour', 'travel', 'uk', 'usa', 'canada', 'australia']"
264,25286,Yeah im excited about the Disney trip but im not excited about moving time zones again im going to be tired for the whole trip,travel,"['yeah', 'im', 'excited', 'for', 'the', 'disney', 'trip', 'but', 'im', 'not', 'excited', 'about', 'moving', 'back', 'time', 'zones', 'im', 'gonna', 'be', 'tired', 'for', 'the', 'whole', 'trip']"
437,23570,Today part of the plane with pilgrims wjdpanama from Germany from going to hope they have a safe trip,travel,"['shared', 'plane', 'today', 'with', 'wjdpanama', 'pilgrims', 'from', 'germany', 'from', 'going', 'to', 'hope', 'they', 'have', 'safe', 'trip']"
489,3162,Boss times hectic times already gone up crazy amounts that will trigger another wave of postive externality increases i will not go anywhere i do not need now i still have fuel from my trip back from malawi a week ago lol,travel,"['boss', 'hectic', 'times', 'prices', 'had', 'already', 'gone', 'up', 'to', 'crazy', 'amounts', 'this', 'will', 'trigger', 'another', 'wave', 'of', 'increases', 'postive', 'externality', 'don', 'go', 'anywhere', 'don', 'need', 'to', 'now', 'still', 'have', 'fuel', 'from', 'my', 'trip', 'back', 'from', 'malawi', 'week', 'ago', 'lol']"
524,18579,Which is already incheon airport i'm going to Seoul this April alone will be a travel agent wait for me but i have to survive alone at incheon airport when i m coming home later i never was on a plane or airport before pls help me,travel,"['who', 'has', 'been', 'to', 'incheon', 'airport', 'going', 'to', 'seoul', 'this', 'april', 'alone', 'there', 'will', 'be', 'travel', 'agent', 'wait', 'for', 'me', 'but', 'need', 'to', 'survive', 'alone', 'at', 'incheon', 'airport', 'when', 'going', 'back', 'home', 'later', 'never', 'been', 'on', 'the', 'plane', 'or', 'airport', 'before', 'pls', 'help', 'me']"
285,29626,I am traveling with my brother all of Italy from palermo to thousands during a month I will probably move closer to ahah,travel,"['travelling', 'with', 'my', 'bro', 'all', 'the', 'italy', 'from', 'palermo', 'to', 'alps', 'during', 'month', 'll', 'probably', 'pass', 'close', 'ahah']"
53,35791,Last year I had an amazing adventure to North Wales and it's such a beautiful place that I love to go again please check my post on it all suzytheexplorer wales travel to northwales snowdonia roadtrip cottage pwllheli aberdaran review,travel,"['last', 'year', 'had', 'an', 'amazing', 'adventure', 'to', 'north', 'wales', 'it', 'such', 'beautiful', 'place', 'that', 'love', 'to', 'go', 'again', 'please', 'check', 'out', 'my', 'post', 'all', 'about', 'it', 'suzytheexplorer', 'wales', 'travel', 'northwales', 'snowdonia', 'roadtrip', 'cottage', 'pwllheli', 'aberdaran', 'review']"
230,24995,You need to plan a trip even if only one year just knowing you are going to you Do not feel better I can plan a cruise from SF to Mexico Just this day cruise for free food alone Almost pay for the trip,travel,"['you', 'should', 'plan', 'trip', 'even', 'if', 'year', 'away', 'just', 'knowing', 'you', 'are', 'going', 'you', 'll', 'feel', 'better', 'may', 'plan', 'cruise', 'from', 'sf', 'to', 'mexico', 'just', 'for', 'myself', 'it', 'day', 'cruise', 'for', 'the', 'free', 'food', 'alone', 'will', 'almost', 'pay', 'for', 'the', 'trip']"
117,41722,Road trip w loved and rules,travel,"['road', 'trip', 'my', 'love', 'and', 'in', 'laws']"
544,31162,yasss sis maybe we can find our owner on a trip,travel,"['yasss', 'sis', 'maybe', 'we', 'll', 'find', 'our', 'husbands', 'on', 'the', 'trip']"
344,33071,I also want to travel and learn languages ​​and just learn cultures it is so important to me idk why but if if im trying to be a doctor i have not had time or money to do it without expanding my already planned long road to be a good doctor,travel,"['also', 'want', 'to', 'travel', 'and', 'learn', 'languages', 'and', 'just', 'learn', 'cultures', 'it', 'so', 'important', 'to', 'me', 'and', 'idk', 'why', 'but', 'if', 'trying', 'to', 'become', 'doctor', 'won', 'have', 'time', 'or', 'money', 'to', 'do', 'this', 'without', 'extending', 'my', 'already', 'long', 'planned', 'road', 'to', 'being', 'good', 'doctor']"
49,7073,im going to concert my boys without cbz armybomb all the savings coming into the tickets and the trip i have to go to the concert to see them atleast once coz they saved me but now eo says wtt armybomb it will feel whole i guess you can not have anything in life,travel,"['going', 'to', 'my', 'boys', 'concert', 'without', 'the', 'armybomb', 'coz', 'all', 'the', 'saving', 'went', 'into', 'tickets', 'and', 'travel', 'needed', 'to', 'go', 'to', 'the', 'concert', 'to', 'see', 'them', 'atleast', 'once', 'coz', 'they', 'saved', 'me', 'but', 'now', 'eo', 'is', 'saying', 'wtht', 'the', 'armybomb', 'it', 'll', 'feel', 'incomplete', 'guess', 'you', 'can', 'have', 'everything', 'in', 'life']"
